,Income_AT,Expenses,Housing,Food,Transport,Entertainment,Luxury,Age,Education,Inc_cat
3008,1834.0,742.6666666666666,218.0,151.66666666666666,195.0,161.0,178.0,74,10,2
3009,3770.183333333333,4590.0,1000.6666666666666,973.3333333333334,701.3333333333334,0.0,1914.6666666666667,48,15,5
3010,116.66666666666667,1596.25,930.0,325.0,60.0,0.0,281.25,56,15,0
3011,5689.75,4673.416666666667,2058.6666666666665,303.3333333333333,474.6666666666667,41.666666666666664,1836.75,49,12,7
3012,1095.5,1241.5,803.3333333333334,238.33333333333334,14.0,0.0,185.83333333333334,53,14,0
3013,2350.6666666666665,2142.3333333333335,856.6666666666666,498.3333333333333,399.3333333333333,104.0,388.0,74,11,3
3014,6288.333333333333,6130.883333333334,3167.6666666666665,866.6666666666666,449.6666666666667,97.66666666666667,1646.883333333334,62,12,7
3015,4043.35,2610.7000000000003,1043.0,438.6666666666667,66.66666666666667,581.3333333333334,1062.3666666666668,23,13,5
3016,6883.366666666666,6719.933333333333,2855.3333333333335,1108.3333333333333,1347.3333333333333,162.66666666666666,1408.9333333333332,48,15,8
3017,694.8333333333334,2197.0,653.3333333333334,520.0,35.0,64.0,988.6666666666666,78,12,0
3018,3340.25,5316.333333333333,762.0,303.3333333333333,403.0,293.6666666666667,3848.0,64,15,5
3019,8577.833333333334,5146.166666666667,1411.6666666666667,830.0,704.3333333333334,255.66666666666666,2200.1666666666665,37,15,9
3020,3694.3333333333335,2558.0833333333335,808.3333333333334,520.0,509.3333333333333,36.0,720.4166666666666,59,15,5
3021,12782.5,5373.583333333333,1654.3333333333333,776.6666666666666,1324.0,94.66666666666667,1618.5833333333333,41,14,10
3022,3859.5833333333335,2548.75,1129.3333333333333,520.0,368.3333333333333,7.666666666666667,531.0833333333334,54,13,5
3023,4247.383333333333,4191.2,765.6666666666666,1256.6666666666667,1147.0,38.0,1021.8666666666668,47,12,6
3024,9268.5,7439.0,2106.6666666666665,910.0,2261.6666666666665,228.0,2160.6666666666665,47,14,9
3025,513.8333333333334,2201.0,886.6666666666666,351.0,349.6666666666667,517.3333333333334,613.6666666666666,52,13,0
3026,0.0,3734.5,2320.5,368.3333333333333,644.3333333333334,75.0,401.3333333333333,51,15,0
3027,4160.666666666667,4408.25,1441.3333333333333,650.0,1086.6666666666667,507.3333333333333,1230.25,29,12,5
3028,2328.4,2056.3333333333335,490.0,333.6666666666667,25.0,105.0,1207.6666666666667,87,12,3
3029,13964.35,21899.279,3842.3333333333335,1828.6666666666667,1112.3333333333333,2090.6666666666665,15115.945666666667,48,15,10
3030,98.66666666666667,1297.6666666666667,888.3333333333334,246.66666666666666,75.0,3.6666666666666665,87.66666666666667,29,12,0
3031,11353.566666666666,8540.666666666666,4430.0,600.0,855.0,191.0,2655.6666666666665,41,15,9
3032,6965.7,5738.866666666666,2006.6666666666667,461.6666666666667,903.6666666666666,226.66666666666666,2366.8666666666663,38,14,8
3033,0.0,509.3333333333333,83.33333333333333,260.0,100.0,56.666666666666664,66.0,19,13,0
3034,3668.1666666666665,4426.666666666667,1109.3333333333333,732.3333333333334,1847.3333333333333,120.33333333333333,737.6666666666666,72,13,5
3035,7128.866666666666,4300.983333333334,292.6666666666667,953.3333333333334,1594.6666666666667,158.33333333333334,1460.3166666666668,60,13,8
3036,4594.083333333333,3566.6666666666665,1273.6666666666667,866.6666666666666,590.3333333333334,125.0,836.0,62,14,6
3037,6923.416666666667,3411.0166666666664,831.0,478.6666666666667,450.6666666666667,111.66666666666667,1650.6833333333332,57,16,8
3038,1008.6666666666666,811.6666666666666,574.3333333333334,86.66666666666667,80.0,5.0,70.66666666666667,57,12,0
3039,1175.0,2392.25,1740.9166666666667,65.0,350.0,122.0,236.33333333333334,64,13,0
3040,13498.0,5590.833333333333,2239.6666666666665,576.3333333333334,360.0,179.0,2414.8333333333335,56,15,10
3041,7605.666666666667,3296.8333333333335,1380.6666666666667,213.0,278.6666666666667,91.0,1424.5,27,16,8
3042,10766.083333333334,6117.583333333333,1299.0,823.3333333333334,936.0,127.0,3059.25,44,14,9
3043,5579.666666666667,2687.5833333333335,467.0,368.3333333333333,1405.3333333333333,0.0,446.9166666666667,78,11,7
3044,3989.6666666666665,7648.5,2198.3333333333335,1046.6666666666667,421.6666666666667,298.0,3981.8333333333335,29,13,5
3045,5373.833333333333,15545.42,2634.6666666666665,500.0,858.3333333333334,189.33333333333334,11552.42,54,13,7
3046,3575.9166666666665,2952.5,1312.6666666666667,346.6666666666667,684.6666666666666,156.0,608.5,42,12,5
3047,5253.216666666666,2687.883333333333,954.6666666666666,99.66666666666667,668.0,10.0,965.5499999999998,29,14,7
3048,393.0,6693.466666666667,2585.6666666666665,574.0,1974.3333333333333,374.0,1559.4666666666672,52,15,0
3049,2268.0,3080.0,1993.3333333333333,281.6666666666667,150.0,33.333333333333336,655.0,78,13,3
3050,7398.666666666667,4999.766666666666,2579.9166666666665,563.3333333333334,388.0,0.0,1468.5166666666664,27,15,8
3051,969.5833333333334,321.3333333333333,13.333333333333334,173.33333333333334,26.333333333333332,6.666666666666667,108.33333333333333,21,12,0
3052,7260.683333333333,4352.216666666666,1793.6666666666667,693.3333333333334,670.0,74.66666666666667,1195.2166666666665,37,13,8
3053,4004.75,3625.0,1958.0,295.0,308.3333333333333,54.0,1063.6666666666667,45,13,5
3054,3317.1666666666665,3467.0,1817.3333333333333,366.0,273.3333333333333,46.0,1010.3333333333334,87,11,4
3055,13145.5,4051.779,1933.6666666666667,520.0,139.0,0.0,1459.1123333333333,60,16,10
3056,1696.25,4859.5,2590.8333333333335,693.6666666666666,613.0,4.333333333333333,962.0,74,16,2
3057,2651.3333333333335,7171.5,2134.8333333333335,1056.0,771.6666666666666,234.33333333333334,3209.0,87,15,4
3058,15805.5,17135.5,4173.333333333333,3120.0,3354.6666666666665,3448.3333333333335,6487.5,46,15,10
3059,525.5166666666667,1125.0333333333333,296.3333333333333,346.6666666666667,197.0,0.0,285.0333333333333,59,12,0
3060,4880.650000000001,4212.483333333334,2204.6666666666665,463.6666666666667,681.3333333333334,143.33333333333334,862.816666666667,44,12,6
3061,1188.6666666666667,1258.8333333333333,182.83333333333334,368.3333333333333,260.3333333333333,42.666666666666664,447.3333333333333,73,10,0
